Freq.	V(mid)
1.00000000000000e+06	(5.82159664747256e+01dB,1.79998841673109e+02°)
1.02329299228075e+06	(5.82159664746786e+01dB,1.79998814692210e+02°)
1.04712854805090e+06	(5.82159664746295e+01dB,1.79998787082845e+02°)
1.07151930523761e+06	(5.82159664745780e+01dB,1.79998758830375e+02°)
1.09647819614319e+06	(5.82159664745241e+01dB,1.79998729919820e+02°)
1.12201845430196e+06	(5.82159664744676e+01dB,1.79998700335853e+02°)
1.14815362149688e+06	(5.82159664744085e+01dB,1.79998670062786e+02°)
1.17489755493953e+06	(5.82159664743466e+01dB,1.79998639084568e+02°)
1.20226443461741e+06	(5.82159664742818e+01dB,1.79998607384776e+02°)
1.23026877081238e+06	(5.82159664742139e+01dB,1.79998574946600e+02°)
1.25892541179417e+06	(5.82159664741429e+01dB,1.79998541752842e+02°)
1.28824955169313e+06	(5.82159664740685e+01dB,1.79998507785902e+02°)
1.31825673855641e+06	(5.82159664739905e+01dB,1.79998473027771e+02°)
1.34896288259165e+06	(5.82159664739089e+01dB,1.79998437460019e+02°)
1.38038426460288e+06	(5.82159664738235e+01dB,1.79998401063787e+02°)
1.41253754462275e+06	(5.82159664737340e+01dB,1.79998363819778e+02°)
1.44543977074593e+06	(5.82159664736403e+01dB,1.79998325708245e+02°)
1.47910838816821e+06	(5.82159664735423e+01dB,1.79998286708980e+02°)
1.51356124843621e+06	(5.82159664734395e+01dB,1.79998246801305e+02°)
1.54881661891248e+06	(5.82159664733320e+01dB,1.79998205964062e+02°)
1.58489319246111e+06	(5.82159664732193e+01dB,1.79998164175597e+02°)
1.62181009735893e+06	(5.82159664731014e+01dB,1.79998121413753e+02°)
1.65958690743756e+06	(5.82159664729779e+01dB,1.79998077655858e+02°)
1.69824365246174e+06	(5.82159664728486e+01dB,1.79998032878711e+02°)
1.73780082874937e+06	(5.82159664727132e+01dB,1.79997987058570e+02°)
1.77827941003892e+06	(5.82159664725714e+01dB,1.79997940171140e+02°)
1.81970085860998e+06	(5.82159664724229e+01dB,1.79997892191563e+02°)
1.86208713666287e+06	(5.82159664722674e+01dB,1.79997843094397e+02°)
1.90546071796325e+06	(5.82159664721046e+01dB,1.79997792853612e+02°)
1.94984459975804e+06	(5.82159664719341e+01dB,1.79997741442568e+02°)
1.99526231496888e+06	(5.82159664717556e+01dB,1.79997688834007e+02°)
2.04173794466953e+06	(5.82159664715687e+01dB,1.79997635000035e+02°)
2.08929613085404e+06	(5.82159664713730e+01dB,1.79997579912110e+02°)
2.13796208950223e+06	(5.82159664711680e+01dB,1.79997523541021e+02°)
2.18776162394955e+06	(5.82159664709534e+01dB,1.79997465856881e+02°)
2.23872113856834e+06	(5.82159664707287e+01dB,1.79997406829105e+02°)
2.29086765276777e+06	(5.82159664704934e+01dB,1.79997346426395e+02°)
2.34422881531992e+06	(5.82159664702469e+01dB,1.79997284616726e+02°)
2.39883291901949e+06	(5.82159664699889e+01dB,1.79997221367324e+02°)
2.45470891568503e+06	(5.82159664697187e+01dB,1.79997156644655e+02°)
2.51188643150958e+06	(5.82159664694358e+01dB,1.79997090414401e+02°)
2.57039578276886e+06	(5.82159664691396e+01dB,1.79997022641446e+02°)
2.63026799189538e+06	(5.82159664688294e+01dB,1.79996953289856e+02°)
2.69153480392691e+06	(5.82159664685045e+01dB,1.79996882322860e+02°)
2.75422870333816e+06	(5.82159664681644e+01dB,1.79996809702831e+02°)
2.81838293126445e+06	(5.82159664678082e+01dB,1.79996735391264e+02°)
2.88403150312660e+06	(5.82159664674353e+01dB,1.79996659348758e+02°)
2.95120922666638e+06	(5.82159664670447e+01dB,1.79996581534994e+02°)
3.01995172040201e+06	(5.82159664666358e+01dB,1.79996501908715e+02°)
3.09029543251359e+06	(5.82159664662076e+01dB,1.79996420427702e+02°)
3.16227766016838e+06	(5.82159664657592e+01dB,1.79996337048752e+02°)
3.23593656929628e+06	(5.82159664652897e+01dB,1.79996251727657e+02°)
3.31131121482591e+06	(5.82159664647980e+01dB,1.79996164419178e+02°)
3.38844156139202e+06	(5.82159664642832e+01dB,1.79996075077024e+02°)
3.46736850452531e+06	(5.82159664637441e+01dB,1.79995983653823e+02°)
3.54813389233575e+06	(5.82159664631796e+01dB,1.79995890101103e+02°)
3.63078054770101e+06	(5.82159664625885e+01dB,1.79995794369260e+02°)
3.71535229097172e+06	(5.82159664619695e+01dB,1.79995696407536e+02°)
3.80189396320561e+06	(5.82159664613214e+01dB,1.79995596163990e+02°)
3.89045144994280e+06	(5.82159664606427e+01dB,1.79995493585472e+02°)
3.98107170553497e+06	(5.82159664599321e+01dB,1.79995388617593e+02°)
