0	n	p
0.0001	3.94114248755E-11	1.28842204121E-11
0.0002	3.95400385287E-11	1.29243714001E-11
0.0003	3.96690710631E-11	1.29646473531E-11
0.0004	3.97985238323E-11	1.30050486593E-11
0.0005	3.99283982121E-11	1.30455757082E-11
0.0006	4.00586955585E-11	1.30862288899E-11
0.0007	4.01894172559E-11	1.31270085974E-11
0.0008	4.03205646810E-11	1.31679152221E-11
0.0009	4.04521392024E-11	1.32089491595E-11
0.001	4.05841422300E-11	1.32501108049E-11
0.0011	4.07165751286E-11	1.32914005545E-11
0.0012	4.08494393171E-11	1.33328188065E-11
0.0013	4.09827361810E-11	1.33743659601E-11
0.0014	4.11164671358E-11	1.34160424161E-11
0.0015	4.12506335821E-11	1.34578485753E-11
0.0016	4.13852369376E-11	1.34997848412E-11
0.0017	4.15202786182E-11	1.35418516175E-11
0.0018	4.16557600506E-11	1.35840493100E-11
0.0019	4.17916826656E-11	1.36263783254E-11
0.002	4.19280478800E-11	1.36688390709E-11
0.0021	4.20648571462E-11	1.37114319565E-11
0.0022	4.22021119026E-11	1.37541573919E-11
0.0023	4.23398135917E-11	1.37970157895E-11
0.0024	4.24779636671E-11	1.38400075616E-11
0.0025	4.26165635805E-11	1.38831331230E-11
0.0026	4.27556147945E-11	1.39263928891E-11
0.0027	4.28951187826E-11	1.39697872762E-11
0.0028	4.30350769977E-11	1.40133167033E-11
0.0029	4.31754909284E-11	1.40569815892E-11
0.003	4.33163620435E-11	1.41007823548E-11
0.0031	4.34576918347E-11	1.41447194218E-11
0.0032	4.35994817857E-11	1.41887932144E-11
0.0033	4.37417333982E-11	1.42330041560E-11
0.0034	4.38844481521E-11	1.42773526734E-11
0.0035	4.40276275778E-11	1.43218391937E-11
0.0036	4.41712731646E-11	1.43664641453E-11
0.0037	4.43153864198E-11	1.44112279584E-11
0.0038	4.44599688878E-11	1.44561310636E-11
0.0039	4.46050220592E-11	1.45011738946E-11
0.004	4.47505474814E-11	1.45463568841E-11
0.0041	4.48965466873E-11	1.45916804683E-11
0.0042	4.50430212142E-11	1.46371450832E-11
0.0043	4.51899725847E-11	1.46827511669E-11
0.0044	4.53374023723E-11	1.47284991593E-11
0.0045	4.54853121223E-11	1.47743895000E-11
0.0046	4.56337033783E-11	1.48204226320E-11
0.0047	4.57825777283E-11	1.48665989979E-11
0.0048	4.59319367059E-11	1.49129190434E-11
0.0049	4.60817819221E-11	1.49593832140E-11
0.005	4.62321149270E-11	1.50059919573E-11
0.0051	4.63829373082E-11	1.50527457226E-11
0.0052	4.65342506587E-11	1.50996449596E-11
0.0053	4.66860565763E-11	1.51466901207E-11
0.0054	4.68383566505E-11	1.51938816584E-11
0.0055	4.69911524893E-11	1.52412200277E-11
0.0056	4.71444456917E-11	1.52887056843E-11
0.0057	4.72982378827E-11	1.53363390851E-11
0.0058	4.74525306849E-11	1.53841206898E-11
0.0059	4.76073257065E-11	1.54320509579E-11
0.006	4.77626245867E-11	1.54801303510E-11
0.0061	4.79184289643E-11	1.55283593323E-11
0.0062	4.80747404686E-11	1.55767383661E-11
0.0063	4.82315607549E-11	1.56252679184E-11
0.0064	4.83888914631E-11	1.56739484569E-11
0.0065	4.85467342589E-11	1.57227804497E-11
0.0066	4.87050907991E-11	1.57717643672E-11
0.0067	4.88639627530E-11	1.58209006813E-11
0.0068	4.90233517879E-11	1.58701898652E-11
0.0069	4.91832595832E-11	1.59196323931E-11
0.007	4.93436878240E-11	1.59692287414E-11
0.0071	4.95046381999E-11	1.60189793877E-11
0.0072	4.96661123926E-11	1.60688848108E-11
0.0073	4.98281121235E-11	1.61189454913E-11
0.0074	4.99906390705E-11	1.61691619115E-11
0.0075	5.01536949657E-11	1.62195345542E-11
0.0076	5.03172815120E-11	1.62700639050E-11
0.0077	5.04814004379E-11	1.63207504503E-11
0.0078	5.06460534640E-11	1.63715946775E-11
0.0079	5.08112423297E-11	1.64225970773E-11
0.008	5.09769687593E-11	1.64737581392E-11
0.0081	5.11432345170E-11	1.65250783570E-11
0.0082	5.13100413381E-11	1.65765582242E-11
