VCTRL	gmn	gmp	gds	cgs	cdg	cds
20	0.010717239	0.00206309	5.74579E-05	-2.61673E-13	-8.45973E-14	9.31463E-14
40	0.010717182	0.002094507	6.00959E-05	-2.621E-13	-8.46827E-14	9.32363E-14
60	0.010717087	0.002124889	6.28033E-05	-2.62513E-13	-8.47646E-14	9.33224E-14
80	0.010716954	0.002154248	6.55844E-05	-2.62911E-13	-8.48433E-14	9.34046E-14
100	0.010716782	0.002182595	6.84444E-05	-2.63295E-13	-8.49188E-14	9.34833E-14
120	0.010716571	0.002209937	7.13891E-05	-2.63667E-13	-8.49915E-14	9.35586E-14
140	0.010716321	0.002236279	7.44252E-05	-2.64026E-13	-8.50614E-14	9.36306E-14
160	0.010716032	0.002261625	7.75603E-05	-2.64373E-13	-8.51287E-14	9.36995E-14
180	0.010715701	0.002285974	8.08035E-05	-2.64709E-13	-8.51935E-14	9.37654E-14
200	0.01071533	0.002309327	8.41651E-05	-2.65033E-13	-8.52559E-14	9.38285E-14
