Length	gdp	
0.18	0.000824667	0.010315856
0.2	0.000617105	0.009336078
0.22	0.000481727	0.008538332
0.24	0.000389453	0.007874102
0.26	0.00032403	0.007310995
0.28	0.000276002	0.006826516
0.3	0.000239653	0.006404548
0.32	0.000211401	0.006033233
0.34	0.000188926	0.005703639
0.36	0.000170678	0.005408892
0.38	0.000155595	0.005143605
0.4	0.000142928	0.004903483
0.42	0.000132141	0.004685051
0.44	0.000122841	0.00448546
0.46	0.000114734	0.004302351
0.48	0.000107598	0.004133747
0.5	7.10E-05	0.003779666
0.52	6.57E-05	0.003649919
0.54	6.10E-05	0.00352886
0.56	5.68E-05	0.003415649
0.58	5.30E-05	0.003309548
0.6	4.96E-05	0.003209907
0.62	4.65E-05	0.003116156
0.64	4.37E-05	0.003027785
0.66	4.11E-05	0.002944345
0.68	3.88E-05	0.002865432
0.7	3.67E-05	0.002790688
0.72	3.47E-05	0.002719789
0.74	3.29E-05	0.002652445
0.76	3.12E-05	0.002588394
0.78	2.97E-05	0.002527399
0.8	2.82E-05	0.002469246
0.82	2.69E-05	0.00241374
0.84	2.57E-05	0.002360703
0.86	2.45E-05	0.002309973
0.88	2.35E-05	0.002261402
0.9	2.25E-05	0.002214855
0.92	2.15E-05	0.002170206
0.94	2.06E-05	0.002127342
0.96	1.98E-05	0.002086156
0.98	1.90E-05	0.002046552
1	1.83E-05	0.002008439
1.02	1.76E-05	0.001971735
1.04	1.70E-05	0.001936362
1.06	1.64E-05	0.001902249
1.08	1.58E-05	0.00186933
1.1	1.52E-05	0.001837541
1.12	1.47E-05	0.001806826
1.14	1.42E-05	0.001777131
1.16	1.37E-05	0.001748406
1.18	1.33E-05	0.001720603
1.2	1.29E-05	0.001693678
1.22	1.25E-05	0.001667591
1.24	1.21E-05	0.001642303
1.26	1.17E-05	0.001617777
1.28	1.14E-05	0.001593979
1.3	1.10E-05	0.001570877
1.32	1.07E-05	0.001548441
1.34	1.04E-05	0.001526642
1.36	1.01E-05	0.001505454
1.38	9.83E-06	0.00148485
1.4	9.56E-06	0.001464807
1.42	9.30E-06	0.001445302
1.44	9.05E-06	0.001426314
1.46	8.82E-06	0.001407822
1.48	8.59E-06	0.001389807
1.5	8.37E-06	0.001372251
1.52	8.16E-06	0.001355136
1.54	7.96E-06	0.001338446
1.56	7.76E-06	0.001322164
1.58	7.57E-06	0.001306277
1.6	7.39E-06	0.00129077
1.62	7.22E-06	0.001275629
1.64	7.05E-06	0.001260841
1.66	6.89E-06	0.001246395
1.68	6.73E-06	0.001232278
1.7	6.58E-06	0.00121848
1.72	6.43E-06	0.001204989
1.74	6.29E-06	0.001191795
1.76	6.16E-06	0.001178889
1.78	6.03E-06	0.001166261
1.8	5.90E-06	0.001153902
1.82	5.77E-06	0.001141804
1.84	5.65E-06	0.001129959
1.86	5.54E-06	0.001118358
1.88	5.43E-06	0.001106995
1.9	5.32E-06	0.001095861
1.92	5.21E-06	0.00108495
1.94	5.11E-06	0.001074255
1.96	5.01E-06	0.001063771
1.98	4.91E-06	0.00105349
2	4.82E-06	0.001043407
2.02	4.73E-06	0.001033516
2.04	4.64E-06	0.001023812
2.06	4.55E-06	0.001014289
2.08	4.47E-06	0.001004943
2.1	4.39E-06	0.000995768
2.12	4.31E-06	0.00098676
2.14	4.23E-06	0.000977915
2.16	4.16E-06	0.000969227
2.18	4.09E-06	0.000960693
2.2	4.02E-06	0.000952308
2.22	3.95E-06	0.00094407
2.24	3.88E-06	0.000935973
2.26	3.81E-06	0.000928015
2.28	3.75E-06	0.000920191
2.3	3.69E-06	0.000912499
2.32	3.63E-06	0.000904935
2.34	3.57E-06	0.000897496
2.36	3.51E-06	0.000890178
2.38	3.45E-06	0.000882979
2.4	3.40E-06	0.000875897
2.42	3.35E-06	0.000868927
2.44	3.29E-06	0.000862068
2.46	3.24E-06	0.000855317
2.48	3.19E-06	0.000848671
2.5	3.14E-06	0.000842129
2.52	3.10E-06	0.000835686
2.54	3.05E-06	0.000829342
2.56	3.01E-06	0.000823094
2.58	2.96E-06	0.000816939
2.6	2.92E-06	0.000810876
2.62	2.88E-06	0.000804903
2.64	2.83E-06	0.000799017
2.66	2.79E-06	0.000793218
2.68	2.75E-06	0.000787502
2.7	2.72E-06	0.000781868
2.72	2.68E-06	0.000776314
2.74	2.64E-06	0.000770839
2.76	2.60E-06	0.000765441
2.78	2.57E-06	0.000760119
2.8	2.53E-06	0.00075487
2.82	2.50E-06	0.000749693
2.84	2.47E-06	0.000744587
2.86	2.43E-06	0.00073955
2.88	2.40E-06	0.000734582
2.9	2.37E-06	0.000729679
2.92	2.34E-06	0.000724842
2.94	2.31E-06	0.000720069
2.96	2.28E-06	0.000715359
2.98	2.25E-06	0.00071071
3	2.22E-06	0.000706121
3.02	2.19E-06	0.000701591
3.04	2.17E-06	0.000697119
3.06	2.14E-06	0.000692704
3.08	2.11E-06	0.000688344
3.1	2.09E-06	0.000684039
3.12	2.06E-06	0.000679788
3.14	2.04E-06	0.00067559
3.16	2.01E-06	0.000671443
3.18	1.99E-06	0.000667347
3.2	1.96E-06	0.000663301
3.22	1.94E-06	0.000659304
3.24	1.92E-06	0.000655354
3.26	1.90E-06	0.000651452
3.28	1.87E-06	0.000647596
3.3	1.85E-06	0.000643786
3.32	1.83E-06	0.00064002
3.34	1.81E-06	0.000636298
3.36	1.79E-06	0.00063262
3.38	1.77E-06	0.000628983
3.4	1.75E-06	0.000625389
3.42	1.73E-06	0.000621835
3.44	1.71E-06	0.000618322
3.46	1.69E-06	0.000614848
3.48	1.68E-06	0.000611413
3.5	1.66E-06	0.000608016
3.52	1.64E-06	0.000604657
3.54	1.62E-06	0.000601335
3.56	1.60E-06	0.00059805
3.58	1.59E-06	0.0005948
3.6	1.57E-06	0.000591585
3.62	1.55E-06	0.000588405
3.64	1.54E-06	0.000585259
3.66	1.52E-06	0.000582147
