L	freq[Hz]	
1.8e-07	86496791877.5463	
2e-07	80909589917.8168	
2.2e-07	72443596007.48	
2.4e-07	65162839406.0674	
2.6e-07	59020108017.1693	
2.8e-07	53703179637.0116	
3e-07	49090787615.2479	
3.2e-07	45081670454.1348	
3.4e-07	41495404263.426	
3.6e-07	38370724549.2184	
3.8e-07	35563131856.8898	
4e-07	33036954103.6735	
4.2e-07	30831879502.4861	
4.4e-07	28773984147.3498	
4.6e-07	26977394324.4428	
4.8e-07	25351286304.9731	
5e-07	24717241450.1555	
5.2e-07	23227367963.5656	
5.4e-07	21827299118.4249	
5.6e-07	20558905959.8366	
5.8e-07	19408858775.9233	
6e-07	18323144223.7079	
6.2e-07	17338039977.5374	
6.4e-07	16443717232.1456	
6.6e-07	15595525028.266	
6.8e-07	14791083881.6788	
7e-07	14092887984.2156	
7.2e-07	13396766874.2564	
7.4e-07	12764388088.1106	
7.6e-07	12189895989.246	
7.8e-07	11641260294.1024	
8e-07	11142945335.9149	
8.2e-07	10665961212.3003	
8.4e-07	10209394837.0746	
8.6e-07	9794899854.08488	
8.8e-07	9397233105.64437	
9e-07	9015711376.05765	
9.2e-07	8669618757.58032	
9.4e-07	8336811846.19458	
9.6e-07	8016780633.8751	
9.8e-07	7726805850.9554	
1e-06	6223002851.69032	
1.02e-06	5997910762.55387	
1.04e-06	5794286964.26763	
1.06e-06	5597576014.94997	
1.08e-06	5407543229.45472	
1.1e-06	5223961889.99015	
1.12e-06	5058246620.03013	
1.14e-06	4897788193.68349	
1.16e-06	4742419852.60151	
1.18e-06	4602565735.81265	
1.2e-06	4466835921.50875	
1.22e-06	4325138310.34924	
1.24e-06	4197589839.90926	
1.26e-06	4083193863.32613	
1.28e-06	3962780342.55363	
1.3e-06	3854783576.65698	
1.32e-06	3741105882.71981	
1.34e-06	3639150361.27137	
1.36e-06	3548133892.33508	
1.38e-06	3451437393.3579	
1.4e-06	3357376142.42891	
1.42e-06	3273406948.78776	
1.44e-06	3191537855.10016	
1.46e-06	3111716337.10543	
1.48e-06	3033891184.1937	
1.5e-06	2958012466.55099	
1.52e-06	2884031503.12607	
1.54e-06	2811900830.39842	
1.56e-06	2747894153.10189	
1.58e-06	2685344445.65801	
1.6e-06	2624218543.38396	
1.62e-06	2564484036.51725	
1.64e-06	2506109253.03166	
1.66e-06	2449063241.8443	
1.68e-06	2393315756.40495	
1.7e-06	2338837238.65893	
1.72e-06	2290867652.76736	
1.74e-06	2238721138.56794	
1.76e-06	2192804935.35005	
1.78e-06	2147830474.13015	
1.8e-06	2103778439.7661	
		
