time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	0.000000e+000
4.271964283491671e-006	2.688626e-003	4.769989e-003
8.543928566983341e-006	5.370506e-003	9.511729e-003
1.281589285047501e-005	8.045640e-003	1.422522e-002
1.708785713396668e-005	1.071403e-002	1.891046e-002
2.135982141745835e-005	1.337567e-002	2.356746e-002
2.563178570095002e-005	1.603057e-002	2.819620e-002
2.990374998444169e-005	1.867872e-002	3.279670e-002
3.771624998444169e-005	2.350448e-002	4.110968e-002
4.552874998444171e-005	2.824566e-002	4.910194e-002
5.334124998444172e-005	3.290226e-002	5.677350e-002
6.115374998444173e-005	3.747429e-002	6.412435e-002
6.896624998444173e-005	4.196174e-002	7.115449e-002
7.677874998444174e-005	4.636462e-002	7.786392e-002
8.459124998444173e-005	5.068291e-002	8.425265e-002
9.351982141301317e-005	5.547031e-002	9.094506e-002
1.024483928415846e-004	6.004910e-002	9.710938e-002
1.113769642701561e-004	6.441929e-002	1.027456e-001
1.203055356987275e-004	6.858088e-002	1.078537e-001
1.292341071272989e-004	7.253386e-002	1.124337e-001
1.381626785558703e-004	7.627823e-002	1.164856e-001
1.470912499844418e-004	7.981400e-002	1.200095e-001
1.551827678415846e-004	8.278803e-002	1.227929e-001
1.632742856987275e-004	8.553214e-002	1.252926e-001
1.713658035558704e-004	8.804634e-002	1.275088e-001
1.794573214130132e-004	9.033063e-002	1.294413e-001
1.875488392701561e-004	9.238501e-002	1.310902e-001
1.956403571272990e-004	9.420947e-002	1.324555e-001
2.037318749844418e-004	9.580403e-002	1.335371e-001
2.182408035558704e-004	9.801801e-002	1.350484e-001
2.327497321272990e-004	9.940929e-002	1.359948e-001
2.472586606987276e-004	9.997788e-002	1.363764e-001
2.617675892701562e-004	9.972377e-002	1.361930e-001
2.762765178415848e-004	9.864696e-002	1.354448e-001
2.907854464130133e-004	9.674746e-002	1.341318e-001
3.052943749844419e-004	9.402526e-002	1.322538e-001
3.133858928415848e-004	9.215772e-002	1.309194e-001
3.214774106987276e-004	9.006724e-002	1.292750e-001
3.295689285558705e-004	8.775381e-002	1.273206e-001
3.376604464130134e-004	8.521744e-002	1.250563e-001
3.457519642701562e-004	8.245813e-002	1.224819e-001
3.538434821272991e-004	7.947587e-002	1.195976e-001
3.619349999844419e-004	7.627067e-002	1.164034e-001
3.703055356987277e-004	7.273772e-002	1.126422e-001
3.786760714130134e-004	6.903068e-002	1.084090e-001
3.870466071272991e-004	6.514954e-002	1.037037e-001
3.954171428415848e-004	6.109429e-002	9.852637e-002
4.037876785558706e-004	5.686495e-002	9.287691e-002
4.121582142701563e-004	5.246151e-002	8.675537e-002
4.205287499844420e-004	4.788397e-002	8.016174e-002
4.283412499844420e-004	4.349091e-002	7.350662e-002
4.361537499844420e-004	3.902054e-002	6.655279e-002
4.439662499844420e-004	3.447288e-002	5.930027e-002
4.517787499844420e-004	2.984791e-002	5.174903e-002
4.595912499844420e-004	2.514565e-002	4.389909e-002
4.674037499844420e-004	2.036609e-002	3.575044e-002
4.752162499844420e-004	1.550923e-002	2.730309e-002
4.788434821272992e-004	1.325097e-002	2.335617e-002
4.824707142701563e-004	1.098877e-002	1.939265e-002
4.860979464130135e-004	8.722633e-003	1.541252e-002
4.897251785558706e-004	6.452556e-003	1.141579e-002
4.933524106987277e-004	4.178539e-003	7.402448e-003
4.969796428415849e-004	1.900584e-003	3.372504e-003
5.006068749844420e-004	-3.813099e-004	-6.740466e-004
5.050711606987277e-004	-3.191257e-003	-5.660351e-003
5.095354464130134e-004	-5.993201e-003	-1.061306e-002
5.139997321272991e-004	-8.787142e-003	-1.553218e-002
5.184640178415849e-004	-1.157308e-002	-2.041770e-002
5.229283035558706e-004	-1.435101e-002	-2.526963e-002
5.273925892701563e-004	-1.712094e-002	-3.008796e-002
5.318568749844420e-004	-1.988287e-002	-3.487270e-002
5.396693749844420e-004	-2.469545e-002	-4.312916e-002
5.474818749844421e-004	-2.942069e-002	-5.105706e-002
5.552943749844421e-004	-3.405860e-002	-5.865638e-002
5.631068749844421e-004	-3.860919e-002	-6.592714e-002
5.709193749844421e-004	-4.307244e-002	-7.286933e-002
5.787318749844421e-004	-4.744837e-002	-7.948295e-002
