
# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0  11.3197  i
 0.00909091  10.82  i
 0.0181818  10.3316  i
 0.0272727  9.85445  i
 0.0363636  9.38859  i
 0.0454545  8.934  i
 0.0545455  8.49068  i
 0.0636364  8.05863  i
 0.0727273  7.63784  i
 0.0818182  7.22833  i
 0.0909091  6.83009  i
 0.1  6.44312  i
 0.109091  6.06742  i
 0.118182  5.70299  i
 0.127273  5.34984  i
 0.136364  5.00795  i
 0.145455  4.67733  i
 0.154545  4.35798  i
 0.163636  4.0499  i
 0.172727  3.7531  i
 0.181818  3.46756  i
 0.190909  3.19329  i
 0.2  2.9303  i
 0.209091  2.67857  i
 0.218182  2.43812  i
 0.227273  2.20893  i
 0.236364  1.99102  i
 0.245455  1.78437  i
 0.254545  1.589  i
 0.263636  1.40489  i
 0.272727  1.23206  i
 0.281818  1.0705  i
 0.290909  0.920205  i
 0.3  0.781182  i
 0.309091  0.653431  i
 0.318182  0.536949  i
 0.327273  0.431738  i
 0.336364  0.337797  i
 0.345455  0.255126  i
 0.354545  0.183726  i
 0.363636  0.123596  i
 0.372727  0.074737  i
 0.381818  0.0371478  i
 0.390909  0.0108291  i
 0.4 -0.00421933  i
 0.409091 -0.00799738  i
 0.418182 -0.000505091  i
 0.427273  0.0182576  i
 0.436364  0.0482905  i
 0.445455  0.0895939  i
 0.454545  0.142168  i
 0.463636  0.206012  i
 0.472727  0.281126  i
 0.481818  0.367511  i
 0.490909  0.465166  i
 0.5  0.574091  i
 0.509091  0.694287  i
 0.518182  0.825753  i
 0.527273  0.96849  i
 0.536364  1.1225  i
 0.545455  1.28777  i
 0.554545  1.46432  i
 0.563636  1.65214  i
 0.572727  1.85123  i
 0.581818  2.06159  i
 0.590909  2.28322  i
 0.6  2.51611  i
 0.609091  2.76028  i
 0.618182  3.01572  i
 0.627273  3.28243  i
 0.636364  3.56042  i
 0.645455  3.84967  i
 0.654545  4.15019  i
 0.663636  4.46198  i
 0.672727  4.78504  i
 0.681818  5.11937  i
 0.690909  5.46498  i
 0.7  5.82185  i
 0.709091  6.18999  i
 0.718182  6.56941  i
 0.727273  6.96009  i
 0.736364  7.36205  i
 0.745455  7.77527  i
 0.754545  8.19977  i
 0.763636  8.63553  i
 0.772727  9.08257  i
 0.781818  9.54087  i
 0.790909  10.0105  i
 0.8  10.4913  i
 0.809091  10.9834  i
 0.818182  11.4868  i
 0.827273  12.0015  i
 0.836364  12.5274  i
 0.845455  13.0646  i
 0.854545  13.6131  i
 0.863636  14.1728  i
 0.872727  14.7438  i
 0.881818  15.3261  i
 0.890909  15.9196  i
 0.9  16.5245  i


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.0824306  7.20115  i
 0.0897033  6.88227  i
 0.096976  6.57059  i
 0.104249  6.26613  i
 0.111522  5.96888  i
 0.118794  5.67885  i
 0.126067  5.39603  i
 0.13334  5.12042  i
 0.140612  4.85202  i
 0.147885  4.59084  i
 0.155158  4.33687  i
 0.162431  4.09012  i
 0.169703  3.85057  i
 0.176976  3.61824  i
 0.184249  3.39313  i
 0.191522  3.17522  i
 0.198794  2.96453  i
 0.206067  2.76105  i
 0.21334  2.56479  i
 0.220612  2.37574  i
 0.227885  2.1939  i
 0.235158  2.01927  i
 0.242431  1.85186  i
 0.249703  1.69166  i
 0.256976  1.53867  i
 0.264249  1.3929  i
 0.271522  1.25434  i
 0.278794  1.12299  i
 0.286067  0.998853  i
 0.29334  0.881931  i
 0.300612  0.772222  i
 0.307885  0.669727  i
 0.315158  0.574444  i
 0.322431  0.486374  i
 0.329703  0.405517  i
 0.336976  0.331874  o
 0.344249  0.265443  o
 0.351522  0.206225  o
 0.358794  0.154221  o
 0.366067  0.109429  o
 0.37334  0.0718507  o
 0.380612  0.0414852  o
 0.387885  0.0183327  o
 0.395158  0.00239318  o
 0.402431 -0.00633327  o
 0.409703 -0.00784671  o
 0.416976 -0.00214711  o
 0.424249  0.0107655  o
 0.431522  0.0308911  o
 0.438794  0.0582298  o
 0.446067  0.0927815  o
 0.45334  0.134546  o
 0.460612  0.183524  o
 0.467885  0.239715  o
 0.475158  0.303119  o
 0.482431  0.373735  i
 0.489703  0.451565  i
 0.496976  0.536608  i
 0.504249  0.628864  i
 0.511522  0.728333  i
 0.518794  0.835015  i
 0.526067  0.94891  i
 0.53334  1.07002  i
 0.540612  1.19834  i
 0.547885  1.33387  i
 0.555158  1.47662  i
 0.562431  1.62658  i
 0.569703  1.78375  i
 0.576976  1.94814  i
 0.584249  2.11974  i
 0.591522  2.29855  i
 0.598794  2.48458  i
 0.606067  2.67781  i
 0.61334  2.87827  i
 0.620612  3.08593  i
 0.627885  3.30081  i
 0.635158  3.5229  i
 0.642431  3.7522  i
 0.649703  3.98872  i
 0.656976  4.23245  i
 0.664249  4.48339  i
 0.671522  4.74154  i
 0.678794  5.00691  i
 0.686067  5.27949  i
 0.69334  5.55929  i
 0.700612  5.8463  i
 0.707885  6.14052  i
 0.715158  6.44195  i
 0.722431  6.7506  i
 0.729703  7.06646  i
 0.736976  7.38953  i
 0.744249  7.71981  i
 0.751522  8.05731  i
 0.758794  8.40203  i
 0.766067  8.75395  i
 0.77334  9.11309  i
 0.780612  9.47944  i
 0.787885  9.853  i
 0.795158  10.2338  i
 0.802431  10.6218  i


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.164861  4.00926  i
 0.170679  3.81897  i
 0.176498  3.63331  i
 0.182316  3.45226  i
 0.188134  3.27582  i
 0.193952  3.10401  i
 0.19977  2.9368  i
 0.205588  2.77422  i
 0.211407  2.61625  i
 0.217225  2.4629  i
 0.223043  2.31416  i
 0.228861  2.17004  i
 0.234679  2.03054  i
 0.240498  1.89565  i
 0.246316  1.76538  i
 0.252134  1.63973  i
 0.257952  1.51869  i
 0.26377  1.40227  i
 0.269588  1.29046  i
 0.275407  1.18327  i
 0.281225  1.0807  i
 0.287043  0.982742  i
 0.292861  0.889402  i
 0.298679  0.800678  i
 0.304498  0.716571  o
 0.310316  0.63708  o
 0.316134  0.562205  o
 0.321952  0.491947  o
 0.32777  0.426305  o
 0.333588  0.365279  o
 0.339407  0.30887  o
 0.345225  0.257077  o
 0.351043  0.2099  o
 0.356861  0.16734  o
 0.362679  0.129395  o
 0.368498  0.0960678  o
 0.374316  0.0673564  o
 0.380134  0.0432613  o
 0.385952  0.0237826  o
 0.39177  0.00892028  o
 0.397588 -0.00132575  o
 0.403407 -0.00695545  o
 0.409225 -0.00796881  o
 0.415043 -0.00436583  o
 0.420861  0.00385348  o
 0.426679  0.0166891  o
 0.432498  0.0341411  o
 0.438316  0.0562094  o
 0.444134  0.0828941  o
