L	gd	intercept
0.2e-6 	9.03377e-07	1.18065e-06
0.6e-6 	4.17220e-07	1.10147e-06
0.8e-6 	2.32158e-07	9.15017e-07
1.0e-6 	1.48183e-07	7.75087e-07
1.2e-6 	1.05122e-07	6.69404e-07
1.4e-6 	8.04712e-08	5.87843e-07
1.6e-6 	6.49315e-08	5.23426e-07
1.8e-6 	5.43117e-08	4.71458e-07
2.0e-6 	4.65718e-08	4.28746e-07
2.2e-6 	4.06462e-08	3.93067e-07
2.4e-6 	3.59397e-08	3.62840e-07
2.6e-6 	3.20978e-08	3.36918e-07
2.8e-6 	2.88969e-08	3.14449e-07
3.0e-6 	2.61877e-08	2.94789e-07
3.2e-6 	2.38661e-08	2.77445e-07
3.4e-6 	2.18564e-08	2.62031e-07
3.6e-6 	2.01020e-08	2.48241e-07
3.8e-6 	1.85593e-08	2.35834e-07
4.0e-6 	1.71942e-08	2.24610e-07
