W	gd	intercept
1.0e-6 	1.48183e-07	7.75087e-07
1.4e-6 	2.06335e-07	1.07707e-06
1.8e-6 	2.64677e-07	1.38034e-06
2.2e-6 	3.23199e-07	1.68477e-06
2.6e-6 	3.81897e-07	1.99029e-06
3.0e-6 	4.40767e-07	2.29685e-06
3.4e-6 	4.99804e-07	2.60439e-06
3.8e-6 	5.59005e-07	2.91290e-06
4.2e-6 	6.18366e-07	3.22234e-06
4.6e-6 	6.77882e-07	3.53267e-06
5.0e-6 	7.37550e-07	3.84388e-06
5.4e-6 	7.97367e-07	4.15592e-06
5.8e-6 	8.57327e-07	4.46879e-06
6.2e-6 	9.17429e-07	4.78245e-06
6.6e-6 	9.77666e-07	5.09687e-06
7.0e-6 	1.03804e-06	5.41205e-06
7.4e-6 	1.09854e-06	5.72796e-06
7.8e-6 	1.15917e-06	6.04457e-06
8.2e-6 	1.21992e-06	6.36188e-06
8.6e-6 	1.28079e-06	6.67985e-06
9.0e-6 	1.34177e-06	6.99847e-06
9.4e-6 	1.40288e-06	7.31773e-06
9.8e-6 	1.46409e-06	7.63760e-06
